Nama Produk,Kategori,Ingridients,Tekstur,Harga,Gambar,Link_Produk
Himalaya Clear Complexion Whitening Face Wash,Facial Wash,"""Aqua, Ammonium Lauryl Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Sodium Cocoyl Glutamate, Disodium Cocoyl Glutamate, Coco-Glucoside, Glycol Distearate, Glycerin, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, PEG-150 Distearate, Cetyl Alcohol, Coco-Glucoside, Glyceryl Oleate, Fragrance, Phenoxyethanol, Sodium Hydroxide, Crocus Sativus (Saffron) Flower Extract, Cucumis Sativus (Cucumber) Fruit Extract, Citric Acid, Menthyl Lactate, Methylchloroisothiazolinone, Methylisothiazolinone, Disodium EDTA, Tocopheryl Acetate, Punica Granatum (Pomegranate) Fruit Extract, Menthol, Glycyrrhiza Glabra (Licorice) Root Extract, Vateria Indica (White Dammar) Bark Extract, FD&C Yellow No. 6""",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572960,https://s.shopee.co.id/70Hd7KSs9y
Pigeon Facial Foam,Facial Wash,"""Purified Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Stearate, Glycerin, Phenoxyethanol, Methylparaben, Butylparaben, Ethylparaben, Propylparaben, Citric Acid, Ethoxydiglycol, Propylene Glycol, PEG-26 Jojoba Acid,PEG-26 Jojoba Acid, Alcohol, Butylene Glycol, PEG-40 Hydrogenated Castor Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Trideceth-9, Glycol Distearate, Fragrance, Matricaria (Chamomilla Recutita) Extract, Tetrasodium EDTA""",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572961,https://s.shopee.co.id/70Hd7KSs9y
Avoskin Natural Sublime Facial Cleanser,Facial Wash,"""Water, Cocamidopropyl Betaine, Glycerin, Lauramidopropyl Hydroxysultaine, Sodium Cocoyl Glycinate, Sodium Chloride, Hydroxypropyl Methylcellulose, Niacinamide, Disodium Cocoyl Glutamate, Polysorbate 20, Citric Acid, Coconut Acid, Sodium Cocoate, Xanthan Gum, Pentylene Glycol, Saccharide Isomerate, Butylene Glycol, Sodium Benzoate, Aloe Barbadensis Leaf Extract, Hydrolyzed Vegetable Protein, Disodium EDTA, Sodium Bisulfite, Cereus Grandiflorus (Cactus) Flower Extract, Potassium Sorbate, Sodium Hyaluronate, Sclerocarya Birrea Seed Oil, Leuconostoc/​Radish Root Ferment Filtrate, Sodium Citrate, Rosa Damascena Flower Water, Rosa Damascena Flower Oil""",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572962,https://s.shopee.co.id/70Hd7KSs9y
Fair & Lovely Glow and Lovely Face Wash,Facial Wash,"""Myristic Acid, Glycerin, Water, Propylene Glycol, Stearic Acid, Potassium Hydroxide, Glycol Distearate, Lauric Acid, Decyl Glucoside, Glyceryl Stearate, Perfume, Phenoxyethanol, Niacinamide, Tocopheryl Acetate, Sodium Ascorbyl Phosphate, Pyridoxine Hcl, Polyquaternium-7, Disodium EDTA, PEG-4 Laurate, PEG-4 Dilaurate, Iodopropynyl Butylcarbamate, PEG-4, Sodium Benzoate""",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572963,https://s.shopee.co.id/70Hd7KSs9y
Skintific Damask Rose,Facial Wash,"""Aqua, Glycerin, Palmitic Acid, Stearic Acid, Myristic Acid, Potassium Hydroxide, PEG-8, Lauric Acid, Niacinamide, Potassium Cocoate, Sodium Cocoyl Glycinate, Glyceryl Hydroxystearate, Sodium Methyl Lauroyl Taurate, Hydroxystearic Acid, Phenoxyethanol, Sodium Chloride, PEG-6, Rosa Damascena Flower Water, Vitis Vinifera Seed Extract, Collagen, Beta-Glucan, PPG-24-Glycereth-24, Polyquaternium-7, PEG/PPG-25/30 Copolymer, Butylene Glycol, Propylene Glycol, Lauryl Hydroxysultaine, Polyquaternium-43, Castoryl Maleate, Disodium EDTA, 1,2-Hexanediol, Polysorbate 80, Hydroxyacetophenone, Ethylhexylglycerin, Caprylyl Glycol, Caprylhydroxamic Acid, CI 19140, CI 77266, CI 42090, Parfum.""",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572964,https://s.shopee.co.id/70Hd7KSs9y
Skintific Low PH Cleanser Ceramide ,Facial Wash,"""Water, Glycerin, Sodium Cocoyl Glycinate, Lauryl Betaine, Hydroxypropyl Starch Phosphate, Citric Acid, PEG-60 Glyceryl Isostearate, Sodium Chloride, Glyceryl Stearate SE, Coco-Glucoside, Phenoxyethanol, Sodium Cocoyl Isethionate, Sodium Phytate, Ethylhexylglycerin, Polyquaternium-7, 1,2-Hexanediol, Quillaja Saponaria Bark Extract, Sodium Benzoate, Ceramide NP, Ceramide EOP, Hyaluronic Acid, Ceramide AP, Centella Asiatica Extract, Niacinamide, Ceramide AS, Panthenol, Ceramide NS, Salicylic Acid, Arginine, Butylene Glycol, Hydrogenated Lecithin, Cetearyl Alcohol, Tocopherol, Stearic Acid, Ascorbic Acid, Sodium Hyaluronate, Cholesterol, Phytosphingosine""",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572965,https://s.shopee.co.id/70Hd7KSs9y
Skintific Niacinamide Brightening Clenaser,Facial Wash,"""Aqua, Glycerin, Tranexamic Acid, Sodium Cocoyl Glycinate, Amino Acid, Lauryl Betaine, Hydroxypropyl Starch Phosphate, Citric Acid, Hyaluronic Acid, PEG-60 Glyceryl Isostearate, Sodium Chloride, Glyceryl Stearate SE, Coco-Glucoside, Phenoxyethanol, Sodium Cocoyl Isethionate, Sodium Phytate, Ethylhexylglycerin, Polyquaternium-7, 1,2-Hexanediol, Quillaja Saponaria Bark Extract, Sodium Benzoate, Ceramide NP, Ceramide EOP, Ceramide AP, Centella Asiatica Extract, Niacinamide, Ceramide AS, Panthenol, Ceramide NS, Arginine, Butylene Glycol, Hydrogenated Lecithin, Cetearyl Alcohol, Tocopherol, Stearic Acid, Ascorbic Acid, Sodium Hyaluronate, Cholesterol, Phytosphingosine""",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572966,https://s.shopee.co.id/70Hd7KSs9y
Cetaphil Gentle Skin Cleanser,Facial Wash,"""Water, Glycerin, Cetearyl Alcohol, Panthenol, Niacinamide, Pantolactone, Xanthan Gum, Sodium Cocoyl Isethionate, Sodium Benzoate, Citric Acid""",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572967,https://s.shopee.co.id/70Hd7KSs9y
Barber Daily Bright Radiance Face Wash,Facial Wash,"""Aqua, Sodium Cocoyl Isethionate, Niacinamide, Propylene Glycol, Cocamidopropyl Betaine, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Sodium Lauroyl Sarcosinate, Glycerin, Parfum, Phenoxyethanol, Panthenol, Sodium Hydroxide, Allantoin, Hydroxyethylcellulose, Alpha-Arbutin, Glutathione, Tetrasodium, Ethylhexylglycerin, Menthol""",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572968,https://s.shopee.co.id/70Hd7KSs9y
Shaan Facial Cleanser,Facial Wash,"""D-Panthenol, Honey, Dimethicone, Vitamin C, Vitamin E, Olive Oil, Rosemary Oil, Decyl Glucoside, Glycerin, Citric Acid, Cocamidopropyl Betaine, Glycol Distearate""",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572969,https://s.shopee.co.id/70Hd7KSs9y
Skintific Panthenol Gentle Cleanser,Facial Wash,"Aqua, Potassium Cocoyl Glycinate, Panthenol, Potassium Cocoate, Acrylates/​Steareth-20 Methacrylate Crosspolymer, Sodium Lauroamphoacetate, Centella Asiatica Extract, Glyserin, Decyl Glucoside, Ceramide NP, Ceramide Ns/​Ng, Ceramide AS, Ceramide EOP, Ceramide AP, Sodium Polyaspartate, Butylene Glycol, 1,2-Hexanediol, Pentylene Glycol, Propanediol, Methyl Diisopropyl Propionamide, Ethyl Menthane Carboxamide, Menthyl Lactate, Hydroxypropyl Cellulose, Isopropyl Palmitate, Trehalose, Serine, Algin, Caprylyl Glycol, Sodium Hyaluronate, Pullulan, Disodium Phosphate, Potassium Phosphate, Hydrogenated Lecithin, Polyglyceryl-10 Stearate, Ethylhexylglycerin
",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572970,https://s.shopee.co.id/70Hd7KSs9y
Skintific 3x Acid Acne Gel Cleanser,Facial Wash,"Aqua, Potassium Cocoyl Glycinate, Hydrogenated Starch Hydrolysate, Acrylates/​Steareth-20 Methacrylate Crosspolymer, Potassium Cocoate, Sodium Lauroamphoacetate, Lauryl Hydroxysultaine, Phenoxyethanol, Erythritol, Betaine, Caprylyl Glycol, C12-13 Alketh-9, Parfum, Potassium Hydroxide, Sodium Chloride, Disodium EDTA, Glycosyl Trehalose, Dipropylene Glycol, Quaternium-73, Caramel, Hydroxyacetophenone, Salicylic Acid, Allantoin, Lactobionic Acid, Lactic Acid, Butylene Glycol, Hydroxypropyl Cyclodextrin, Ci 19140, Centella Asiatica Extract, 1,2-Hexanediol, Ci 42100, Ethylhexylglycerin",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572971,https://s.shopee.co.id/70Hd7KSs9y
