Ingredient,Jenis Kulit Cocok,Alasan Jenis Kulit Cocok,Jenis Kulit Tidak Cocok,Alasan Jenis Kulit Tidak Cocok,Masalah Kulit Cocok,Alasan Masalah Kulit Cocok,Masalah Kulit Tidak Cocok,Alasan Masalah Kulit Tidak Cocok,Masalah Kulit Evidence Strength,Masalah Kulit Contraindication Strength,Jenis Kulit Contraindication Strength,Evidence Level / Catatan (Jenis Kulit)
Ammonium Lauryl Sulfate,Berminyak,Efektif mengangkat sebum berlebih.,"Kering, Kombinasi",Dapat menghilangkan lipid alami kulit sehingga memperburuk kekeringan dan skin barrier.,Berjerawat,Membantu membersihkan minyak berlebih yang berkontribusi terhadap jerawat.,"Kemerahan, Aging",Berpotensi meningkatkan iritasi dan memperburuk skin barrier.,Berjerawat: Supportive,Kemerahan: Moderate; Aging: Low,Kering: High; Kombinasi: Moderate,Anionic sulfate surfactant; literatur surfaktan (mis. Ananthapadmanabhan et al.) menunjukkan peningkatan TEWL dan pelucutan lipid stratum korneum yang konsisten pada konsentrasi cleanser umum.
Cocamidopropyl Betaine,"Normal, Berminyak, Kombinasi",Surfactant lembut untuk pembersihan harian.,-,-,Berjerawat,Membersihkan minyak dan kotoran tanpa terlalu mengeringkan kulit.,Kemerahan,Pada sebagian orang dapat menyebabkan dermatitis kontak.,Berjerawat: Supportive,Kemerahan: Moderate,,
Sodium Cocoyl Glutamate,"Normal, Berminyak, Kering, Kombinasi",Surfactant berbasis asam amino yang sangat lembut.,-,-,"Berjerawat, Kemerahan",Membersihkan kulit tanpa merusak skin barrier.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Disodium Cocoyl Glutamate,"Normal, Berminyak, Kering, Kombinasi",Menjaga kelembapan kulit saat proses pembersihan.,-,-,"Berjerawat, Kemerahan",Risiko iritasi rendah sehingga cocok untuk kulit sensitif dan berjerawat.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Coco-Glucoside,"Normal, Berminyak, Kering, Kombinasi",Surfactant non-ionik yang lembut.,-,-,"Berjerawat, Kemerahan",Membersihkan kulit dengan risiko iritasi rendah.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Glycerin,"Normal, Berminyak, Kering, Kombinasi",Humectant yang menjaga hidrasi dan memperbaiki skin barrier.,-,-,"Kusam, PIE, Kemerahan",Membantu menjaga kelembapan dan mempercepat pemulihan skin barrier.,-,-,Kusam: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Cetyl Alcohol,"Normal, Kering, Kombinasi",Emollient yang membantu melembapkan kulit.,Berminyak,Pada kulit sangat berminyak dapat terasa terlalu berat.,Kemerahan,Membantu memperbaiki skin barrier dan mengurangi kekeringan.,-,-,Kemerahan: Supportive,-,Berminyak: Low,"Fatty alcohol (bukan simple alcohol), emolien, rating komedogenik rendah pada tabel klasik; kekhawatiran untuk kulit berminyak bersifat teoritis."
Phenoxyethanol,-,-,-,-,-,-,Kemerahan,Pada kulit yang sangat sensitif dapat menyebabkan iritasi ringan.,-,Kemerahan: Low,,
Crocus Sativus (Saffron) Flower Extract,"Normal, Berminyak, Kering, Kombinasi",Antioksidan yang aman digunakan pada berbagai jenis kulit.,-,-,"PIH, Kusam",Membantu melawan radikal bebas dan mendukung efek brightening.,-,-,PIH: Supportive; Kusam: Supportive,-,,
Cucumis Sativus (Cucumber) Fruit Extract,"Normal, Berminyak, Kering, Kombinasi",Memiliki efek soothing dan melembapkan.,-,-,"Kemerahan, PIE, Kusam",Membantu menenangkan kulit dan mengurangi inflamasi ringan.,-,-,Kemerahan: Supportive; PIE: Supportive; Kusam: Supportive,-,,
Menthyl Lactate,Berminyak,Memberikan sensasi segar yang nyaman pada kulit berminyak.,Kering,Dapat meningkatkan rasa perih pada kulit yang kering atau skin barrier terganggu.,-,-,Kemerahan,Sensasi dingin dapat memperburuk rasa tidak nyaman pada kulit yang meradang.,-,Kemerahan: Moderate,,"Cooling agent sintetis, lebih ringan dari menthol; evidence spesifik untuk efek kering pada kulit tidak memadai."
Methylchloroisothiazolinone,-,-,"Normal, Berminyak, Kering, Kombinasi",Pengawet dengan risiko tinggi menyebabkan allergic contact dermatitis pada semua jenis kulit.,-,-,"Kemerahan, PIE, PIH","Berpotensi memicu atau memperparah inflamasi kulit. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: High; PIE: Moderate; PIH: Moderate,,"Preservative dikenal sebagai sensitizer kontak kuat (dibatasi regulasi EU untuk rinse-off), namun risikonya bersifat alergi/sensitisasi umum, bukan spesifik jenis kulit fisiologis."
