Slug,Ingredient Name,Also Called,Functions,Description,Jenis Kulit Cocok
1-2-hexanediol,"1,2-Hexanediol",,solvent,"Hexanediol adalah bahan multifungsi yang sangat populer dalam produk perawatan kulit modern. Fungsi utamanya adalah sebagai pelarut yang membantu melarutkan bahan-bahan lain dalam formula. Selain itu, ia juga berfungsi sebagai pelembap (humektan) yang menarik air ke dalam kulit dan memiliki kemampuan untuk meningkatkan efektivitas sistem pengawet dalam produk kosmetik. Bahan ini memberikan tekstur yang ringan, halus, dan tidak lengket pada produk akhir.",Normal
4-methylbenzylidene-camphor,4-Methylbenzylidene Camphor,Enzacamene,sunscreen,"4-Methylbenzylidene Camphor, juga dikenal sebagai Enzacamene, adalah agen tabir surya kimia yang memberikan perlindungan utama terhadap sinar UVB (290-320 nm). Bahan ini bekerja dengan menyerap radiasi ultraviolet dan mengubahnya menjadi energi yang kurang berbahaya untuk mencegah luka bakar akibat sinar matahari dan kerusakan kulit jangka panjang. Selain sebagai filter UV, bahan ini sering digunakan sebagai penstabil foto untuk melindungi bahan lain yang tidak stabil, seperti avobenzone, agar tidak mudah terurai saat terpapar sinar matahari. Meskipun efektif, penggunaannya mulai dibatasi di berbagai negara karena kekhawatiran mengenai potensinya sebagai pengganggu endokrin dan dampak lingkungan terhadap ekosistem laut.",Normal
4-t-butylcyclohexanol,4-T-Butylcyclohexanol,SymSitive,"soothing, cell-communicating ingredient","4-T-Butylcyclohexanol, yang juga dikenal dengan nama dagang SymSitive, adalah bahan aktif penenang (soothing) yang dirancang khusus untuk kulit sensitif dan reaktif. Bahan ini bekerja sebagai antagonis reseptor TRPV1, yaitu pemutus sinyal iritasi pada tingkat sel sebelum mencapai reseptor saraf, sehingga mampu mengurangi sensasi menyengat (stinging) dan terbakar (burning) secara instan dalam waktu sekitar 3 menit. Selain memberikan kelegaan cepat, penggunaan rutin bahan ini dapat meningkatkan ambang toleransi kulit terhadap pemicu iritasi eksternal maupun bahan aktif lain seperti retinol.",Sensitif
acacia-decurrens-flower-wax,Acacia Decurrens Flower Wax,Mimosa wax,emollient,"Acacia Decurrens Flower Wax, juga dikenal sebagai lilin mimosa, adalah bahan alami yang diperoleh dari bunga pohon mimosa. Berfungsi utama sebagai emolien, bahan ini membentuk lapisan pelindung tipis di atas kulit untuk mencegah kehilangan kelembapan (dehidrasi) dan melindungi dari faktor lingkungan seperti angin atau sinar matahari. Selain memberikan tekstur yang kaya dan lembut pada produk kosmetik, lilin ini memiliki sifat menenangkan dan memperbaiki kulit yang rusak, menjadikannya ideal untuk perawatan kulit kering atau sensitif. Bahan ini sering dikombinasikan dengan lilin bunga lain untuk meningkatkan hidrasi serta memberikan aroma floral yang lembut.",Normal
acacia-senegal-gum,Acacia Senegal Gum,Gum Arabic,,"Acacia Senegal Gum, yang lebih dikenal sebagai Gum Arabic, adalah getah alami yang diekstrak dari pohon Acacia senegal. Dalam produk perawatan kulit dan kosmetik, bahan ini berfungsi sebagai agen pembentuk lapisan (film-former), pengental, dan penstabil emulsi yang membantu memperbaiki tekstur serta daya rekat produk pada kulit. Selain memberikan efek menenangkan, bahan ini sering digunakan dalam maskara dan eyeliner untuk meningkatkan volume serta memastikan produk tahan lama tanpa rasa berat. Sebagai bahan nabati yang biodegradable, Acacia Senegal Gum menjadi alternatif alami yang populer untuk menggantikan pengental sintetik dalam formula kecantikan bersih (clean beauty).",Normal
acer-saccharum-extract,Acer Saccharum Extract,Sugar Maple Extract,,"Acer Saccharum (Sugar Maple) Extract adalah bahan alami yang diekstrak dari getah atau kulit pohon maple gula. Dalam perawatan kulit, bahan ini dikenal sebagai sumber alami Alpha Hydroxy Acids (AHA), seperti asam malat dan tartarat, yang berfungsi sebagai eksfolian lembut untuk mengangkat sel kulit mati dan memperbaiki tekstur kulit. Selain kemampuannya dalam mencerahkan dan menghaluskan kompleksi wajah, ekstrak ini juga memiliki sifat humektan yang membantu menjaga hidrasi kulit serta kaya akan antioksidan untuk melindungi kulit dari stres lingkungan.",Normal
acetamidoethoxyethanol,Acetamidoethoxyethanol,ElfaMoist AC,moisturizer/humectant,"Acetamidoethoxyethanol, yang dikenal dengan nama dagang ElfaMoist AC, adalah bahan pelembap (humektan) yang sangat efektif dan inovatif. Bahan ini memiliki kemampuan unik untuk menembus lapisan luar kulit dan memberikan hidrasi yang intens serta tahan lama hingga 30 jam tanpa rasa lengket. Acetamidoethoxyethanol bekerja dengan cara mengikat air di dalam kulit, membantu menjaga elastisitas, dan memperkuat sawar kulit (skin barrier) agar kulit tetap halus dan kenyal.",Normal
acetic-acid,Acetic Acid,,buffering,"Asam Asetat, atau yang lebih dikenal sebagai komponen utama dalam cuka, adalah bahan organik cair yang berfungsi sebagai pengatur keasaman (buffering) dalam produk perawatan kulit. Selain menjaga stabilitas pH formula agar tetap optimal bagi kulit, bahan ini juga memiliki sifat antimikroba yang membantu mencegah pertumbuhan bakteri. Dalam konsentrasi rendah, ia membantu menyegarkan kulit, namun dalam bentuk murni (asam asetat glasial), bahan ini bersifat korosif dan harus diencerkan sebelum digunakan dalam kosmetik.",Normal
acetyl-dipeptide-1-cetyl-ester,Acetyl Dipeptide-1 Cetyl Ester,Calmosensine,"cell-communicating ingredient, soothing","Acetyl Dipeptide-1 Cetyl Ester, yang dikenal dengan nama dagang Calmosensine, adalah lipopeptida penenang yang dirancang untuk mengurangi sensitivitas kulit dan memberikan efek relaksasi otot. Bahan ini bekerja dengan merangsang pelepasan molekul pembawa pesan saraf yang membantu meredakan iritasi akibat panas, tekanan mekanis, atau bahan kimia, sehingga kulit terasa lebih nyaman. Selain sifat penenangnya, peptida ini juga bermanfaat dalam produk anti-penuaan karena kemampuannya untuk meningkatkan produksi elastin dan mengurangi ketegangan wajah yang dapat memicu terbentuknya garis-garis ekspresi dan kerutan.",Normal
acetyl-glucosamine,Acetyl Glucosamine,,"skin-identical ingredient, skin brightening","Acetyl Glucosamine adalah gula amino yang identik dengan kulit (skin-identical ingredient) dan berfungsi sebagai bahan penyusun utama asam hialuronat. Sebagai humektan yang efektif, bahan ini membantu meningkatkan kadar air dalam kulit, menjaga hidrasi, serta memperkuat sawar kulit (skin barrier) tanpa rasa lengket. Selain kemampuannya dalam melembapkan, Acetyl Glucosamine dikenal sebagai eksfolian lembut yang mampu menormalkan regenerasi sel kulit mati semirip Alpha Hydroxy Acids (AHA) namun dengan risiko iritasi yang jauh lebih rendah, sehingga cocok untuk kulit sensitif. Bahan ini juga sangat efektif dalam mencerahkan wajah dan menyamarkan noda hitam (hiperpigmentasi), terutama jika dikombinasikan dengan Niacinamide untuk hasil yang lebih sinergis dalam meratakan warna kulit.",Normal
